PTN000152057	PTHR11420	PTHR10078	-	+
PTN000396926	PTHR15447	PTHR10459	-	+
PTN001035536	PTHR15447	PTHR10459	-	+
PTN000471951	PTHR21061	PTHR10699	-	+
PTN001277023	PTHR31939	PTHR11177	-	+
PTN001087311	PTHR21466	PTHR12112	-	+
PTN000524426	PTHR22875	PTHR12606	-	+
PTN001268151	PTHR31546	PTHR13430	-	+
PTN000411683	PTHR16050	PTHR13479	-	+
PTN001400465	PTHR12796	PTHR13992	-	+
PTN001048268	PTHR17028	PTHR15282	-	+
PTN000272372	PTHR12380	PTHR19957	-	+
PTN000272437	PTHR12380	PTHR19957	-	+
PTN000356711	PTHR13889	PTHR22840	-	+
PTN000356653	PTHR13889	PTHR22840	-	+
PTN000684580	PTHR24360	PTHR24361	-	+
PTN001220507	PTHR24360	PTHR24361	-	+
PTN001220492	PTHR24360	PTHR24361	-	+
PTN000684587	PTHR24360	PTHR24361	-	+
PTN000684494	PTHR24360	PTHR24361	-	+
PTN001220544	PTHR24360	PTHR24361	-	+
PTN000701352	PTHR24420	PTHR26392	-	+
PTN000661678	PTHR24236	PTHR10489	-	
PTN001121516	PTHR22964	PTHR10489	-	
PTN000661585	PTHR24236	PTHR10489	-	
PTN001491415	PTHR22964	PTHR10489	-	
PTN001201583	PTHR24236	PTHR10489	-	
PTN000539684	PTHR22964	PTHR10489	-	
PTN000531058	PTHR22915	PTHR10632	-	
PTN000364676	PTHR14127	PTHR10799	-	
PTN000449834	PTHR19326	PTHR11485	-	
PTN001067896	PTHR19831	PTHR12231	-	
PTN001067895	PTHR19831	PTHR12231	-	
PTN000456925	PTHR19831	PTHR12231	-	
PTN000000819	PTHR10014	PTHR12565	-	
PTN000824899	PTHR10439	PTHR15071	-	
PTN001145116	PTHR23228	PTHR16515	-	
PTN000578060	PTHR23228	PTHR19303	-	
PTN000578396	PTHR23228	PTHR19303	-	
PTN000578267	PTHR23228	PTHR19303	-	
PTN000577900	PTHR23228	PTHR19303	-	
PTN000148113	PTHR23228	PTHR19303	-	
PTN001507803	PTHR23228	PTHR19303	-	
PTN000578104	PTHR23228	PTHR19303	-	
PTN000239043	PTHR11962	PTHR21148	-	
PTN001124391	PTHR23016	PTHR22884	-	
PTN000860688	PTHR10959	PTHR23065	-	
PTN000102991	PTHR10959	PTHR23065	-	
PTN000360279	PTHR13982	PTHR23327	-	
PTN000360213	PTHR13982	PTHR23327	-	
PTN001018176	PTHR13982	PTHR23327	-	
PTN000360260	PTHR13982	PTHR23327	-	
PTN000121726	PTHR11107	PTHR23389	-	
PTN000121684	PTHR11107	PTHR23389	-	
PTN000627327	PTHR24063	PTHR23500	-	
PTN000627328	PTHR24063	PTHR23500	-	
PTN000756124	PTHR24063	PTHR23500	-	
PTN001161372	PTHR24003	PTHR23501	-	
PTN001161029	PTHR24003	PTHR23501	-	
PTN001161079	PTHR24003	PTHR23501	-	
PTN001160475	PTHR24003	PTHR23502	-	
PTN000627437	PTHR24063	PTHR23503	-	
PTN001160264	PTHR24001	PTHR23505	-	
PTN001160805	PTHR24003	PTHR23515	-	
PTN000606697	PTHR24003	PTHR23515	-	
PTN000588284	PTHR23269	PTHR24012	-	
PTN001531327	PTHR24076	PTHR24078	-	
PTN001180543	PTHR24076	PTHR24078	-	
PTN001180221	PTHR24076	PTHR24078	-	
PTN001531278	PTHR24076	PTHR24078	-	
PTN001531405	PTHR24076	PTHR24078	-	
PTN001180323	PTHR24076	PTHR24078	-	
PTN001566394	PTHR25040	PTHR24078	-	
PTN000211890	PTHR11809	PTHR24089	-	
PTN000211863	PTHR11809	PTHR24089	-	
PTN000211803	PTHR11809	PTHR24089	-	
PTN000211804	PTHR11809	PTHR24089	-	
PTN000651358	PTHR24137	PTHR24173	-	
PTN001197414	PTHR24199	PTHR24198	-	
PTN001208528	PTHR24272	PTHR24256	-	
PTN001546584	PTHR24259	PTHR24256	-	
PTN001208567	PTHR24272	PTHR24256	-	
PTN001208617	PTHR24272	PTHR24256	-	
PTN000668417	PTHR24272	PTHR24256	-	
PTN000666829	PTHR24259	PTHR24256	-	
PTN001207579	PTHR24259	PTHR24256	-	
PTN000668442	PTHR24272	PTHR24256	-	
PTN000666984	PTHR24259	PTHR24256	-	
PTN000666830	PTHR24259	PTHR24256	-	
PTN000668522	PTHR24272	PTHR24256	-	
PTN000043896	PTHR10385	PTHR24369	-	
PTN000822858	PTHR10385	PTHR24369	-	
PTN000043893	PTHR10385	PTHR24369	-	
PTN000325444	PTHR13226	PTHR24375	-	
PTN000005064	PTHR10042	PTHR24409	-	
PTN000005016	PTHR10042	PTHR24409	-	
PTN000005018	PTHR10042	PTHR24409	-	
PTN000724014	PTHR24420	PTHR27000	-	
PTN001232411	PTHR24420	PTHR27000	-	
PTN001293156	PTHR24420	PTHR27003	-	
PTN000660132	PTHR24229	PTHR24242		+
PTN000236355	PTHR11946	PTHR11586		
PTN000210347	PTHR11800	PTHR11805		
PTN001322445	PTHR10699	PTHR15505		
PTN000003938	PTHR10032	PTHR16516		
PTN000602008	PTHR23413	PTHR23431		
PTN000602007	PTHR23413	PTHR23431		
PTN000881939	PTHR11239	PTHR30405		
